Time(s),Acceleration(m_s2),1_AT3_Floor/A/MeshedPart-PART-1-1 at Node 27292
0.0270005,121.662,
0.0280008,340.382,
0.0290011,280.804,
0.0300014,413.985,
0.0310002,289.541,
0.0320004,305.974,
0.0330007,539.338,
0.034001,86.4873,
0.0350013,81.0923,
0.0360001,373.259,
0.0370004,256.648,
0.0380007,509.105,
0.039001,394.806,
0.0400013,224.797,
0.0410001,320.9,
0.0420004,346.656,
0.0430007,311.729,
0.0440001,309.448,
0.045001,221.604,
0.0460009,407.861,
0.0470004,285.232,
0.0480003,384.893,
0.049,327.688,
0.0500012,122.752,
0.0510008,497.519,
0.0520002,336.46,
0.053001,127.003,
0.0540003,328.224,
0.0550012,270.48,
0.0560005,142.04,
0.0570013,404.561,
0.0580007,371.944,
0.0590015,1084.44,
0.0600008,610.577,
0.0610002,1139.79,
0.062001,786.77,
0.0630003,484.435,
0.0640012,548.888,
0.0650005,685.66,
0.0660013,270.188,
0.0670007,619.324,
0.0680015,313.992,
0.0690008,309.903,
0.0700002,656.197,
0.071001,414.641,
0.0720003,440.474,
0.0730012,521.279,
0.0740005,383.739,
0.0750013,336.575,
0.0760007,265.629,
0.0770015,422.453,
0.0780008,355.732,
0.0790002,684.084,
0.080001,250.199,
0.0810003,322.225,
0.0820012,138.55,
0.0830005,307.163,
0.0840013,294.377,
0.0850007,470.94,
0.0860015,326.622,
0.0870012,452.39,
0.0880013,383.818,
0.0890005,274.828,
0.0900002,678.824,
0.0910015,547.244,
0.0920012,500.511,
0.093001,240.826,
0.0940007,512.767,
0.0950005,800.059,
0.0960002,725.481,
0.0970015,232.804,
0.0980012,390.278,
0.0990009,663.745,
0.100001,293.41,
0.101,475.131,
0.102,298.098,
0.103001,339.888,
0.104001,482.222,
0.105001,511.732,
0.106001,399.869,
0.107,536.296,
0.108,386.586,
0.109001,949.164,
0.110001,165.334,
0.111001,688.04,
0.112001,455.927,
0.113,570.425,
0.114,451.207,
0.115001,605.641,
0.116001,322.35,
0.117001,397.461,
0.118,263.108,
0.119001,232.63,
0.120001,517.676,
0.121001,473.92,
0.122001,333.584,
0.123,225.725,
