Time(s),Acceleration(m_s2),1_XY-Field A.1/A/C3/MeshedPart-PART-1-1 in Element 103580
0.00400089,-9.72276,
0.00500042,-76.8981,
0.00600046,60.1047,
0.00700043,-186.503,
0.00800039,-237.77,
0.00900001,21.2136,
0.01,-464.929,
0.0110006,-254.567,
0.012,-227.165,
0.0130004,-418.973,
0.014001,181.202,
0.0150009,-28.4679,
0.0160001,238.781,
0.0170009,547.372,
0.0180007,448.209,
0.0190005,543.722,
0.0200002,397.74,
0.0210003,408.37,
0.0220009,208.603,
0.0230005,175.456,
0.0240002,-238.213,
0.0250003,56.1285,
0.026001,-161.754,
0.0270006,58.3377,
0.0280002,-114.025,
0.0290008,-150.264,
0.0300001,152.917,
0.0310008,-135.24,
0.0320005,176.784,
0.0330007,129.935,
0.0340009,374.776,
0.0350011,-29.169,
0.0360002,376.547,
0.0370004,156.895,
0.0380006,235.561,
0.0390001,68.9445,
0.0400002,338.331,
0.0410007,-60.9894,
0.0420009,72.4801,
0.0430011,170.151,
0.0440002,-130.818,
0.0450004,198.435,
0.0460001,140.303,
0.0470007,192.549,
0.0480002,17.6776,
0.0490004,225.392,
0.0500007,273.12,
0.0510006,-55.5556,
0.0520009,199.922,
0.0530003,143.531,
0.0540008,-5.04401,
